 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports_common.py                                                                                | 3736      | 1749664750 | 1749664750 | 89   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports_windows.py                                                                               | 16021     | 1749664750 | 1749664750 | 90   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports.py                                                                                       | 3389      | 1749664750 | 1749664750 | 82   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports_osx.py                                                                                   | 11178     | 1749664750 | 1749664750 | 86   | 17   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/hexlify_codec.py                                                                                    | 3677      | 1749664750 | 1749664750 | 85   | 16   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports_windows.cpython-313.pyc                                                      | 15412     | 1749664750 | 1749664750 | 115  | 34   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports.cpython-313.pyc                                                              | 4302      | 1749664750 | 1749664750 | 107  | 26   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports_osx.cpython-313.pyc                                                          | 12107     | 1749664750 | 1749664750 | 111  | 30   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports_linux.cpython-313.pyc                                                        | 6521      | 1749664750 | 1749664750 | 113  | 32   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports_posix.cpython-313.pyc                                                        | 5546      | 1749664750 | 1749664750 | 113  | 32   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/miniterm.cpython-313.pyc                                                                | 55076     | 1749664750 | 1749664750 | 105  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/list_ports_common.cpython-313.pyc                                                       | 5911      | 1749664750 | 1749664750 | 114  | 33   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/hexlify_codec.cpython-313.pyc                                                           | 6604      | 1749664750 | 1749664750 | 110  | 29   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/__pycache__/__init__.cpython-313.pyc                                                                | 177       | 1749664750 | 1749664750 | 105  | 24   
